timestamp,device_id,temp_c,motion,battery,data_quality_status
2026-07-12 14:50:00,SN-9982,28.3,FALSE,88.0,Clean
2026-07-12 14:50:00,SN-9983,28.2,TRUE,94.0,Clean
2026-07-12 14:50:00,SN-9984,29.7,TRUE,76.0,Clean
2026-07-12 14:50:00,SN-9985,27.8,TRUE,81.0,Clean
2026-07-12 14:50:00,SN-9986,30.7,TRUE,69.0,Clean
2026-07-12 14:50:10,SN-9982,28.4,TRUE,88.0,Clean
2026-07-12 14:50:10,SN-9983,28.1,TRUE,94.0,Clean
2026-07-12 14:50:10,SN-9984,29.6,TRUE,76.0,Clean
2026-07-12 14:50:10,SN-9985,27.7,FALSE,81.0,Clean
2026-07-12 14:50:10,SN-9986,31.0,FALSE,69.0,Clean
2026-07-12 14:50:20,SN-9982,28.7,TRUE,88.0,Clean
2026-07-12 14:50:20,SN-9983,28.0,FALSE,94.0,Clean
2026-07-12 14:50:20,SN-9984,29.6,FALSE,76.0,Clean
2026-07-12 14:50:20,SN-9985,27.6,TRUE,81.0,Clean
2026-07-12 14:50:20,SN-9986,31.1,FALSE,69.0,Clean
2026-07-12 14:50:30,SN-9982,28.4,TRUE,88.0,Clean
2026-07-12 14:50:30,SN-9983,28.1,TRUE,94.0,Clean
2026-07-12 14:50:30,SN-9984,29.8,TRUE,76.0,Clean
2026-07-12 14:50:30,SN-9985,27.6,FALSE,81.0,Clean
2026-07-12 14:50:30,SN-9986,31.0,TRUE,69.0,Clean
2026-07-12 14:50:40,SN-9982,28.5,FALSE,88.0,Clean
2026-07-12 14:50:40,SN-9983,28.3,FALSE,94.0,Clean
2026-07-12 14:50:40,SN-9984,30.0,TRUE,76.0,Clean
2026-07-12 14:50:40,SN-9985,27.7,TRUE,81.0,Clean
2026-07-12 14:50:40,SN-9986,31.1,FALSE,69.0,Clean
2026-07-12 14:50:50,SN-9982,28.8,TRUE,88.0,Clean
2026-07-12 14:50:50,SN-9983,28.4,FALSE,94.0,Clean
2026-07-12 14:50:50,SN-9984,30.1,TRUE,76.0,Clean
2026-07-12 14:50:50,SN-9985,28.0,TRUE,81.0,Clean
2026-07-12 14:50:50,SN-9986,31.0,TRUE,69.0,Clean
2026-07-12 14:51:00,SN-9982,28.7,FALSE,88.0,Clean
2026-07-12 14:51:00,SN-9983,28.5,TRUE,94.0,Clean
2026-07-12 14:51:00,SN-9984,29.9,FALSE,76.0,Clean
2026-07-12 14:51:00,SN-9985,27.7,TRUE,81.0,Clean
2026-07-12 14:51:00,SN-9986,31.0,FALSE,69.0,Clean
2026-07-12 14:51:10,SN-9982,28.9,TRUE,88.0,Clean
2026-07-12 14:51:10,SN-9983,28.4,TRUE,94.0,Clean
2026-07-12 14:51:10,SN-9984,29.9,FALSE,76.0,Clean
2026-07-12 14:51:10,SN-9985,27.6,FALSE,81.0,Clean
2026-07-12 14:51:10,SN-9986,30.7,FALSE,69.0,Clean
2026-07-12 14:51:20,SN-9982,28.8,TRUE,88.0,Clean
2026-07-12 14:51:20,SN-9983,28.3,TRUE,80.0,Clean
2026-07-12 14:51:20,SN-9984,29.7,TRUE,76.0,Clean
2026-07-12 14:51:20,SN-9985,27.8,TRUE,81.0,Clean
2026-07-12 14:51:20,SN-9986,30.6,TRUE,69.0,Clean
2026-07-12 14:51:30,SN-9982,28.8,FALSE,88.0,Clean
2026-07-12 14:51:30,SN-9983,28.7,TRUE,94.0,Clean
2026-07-12 14:51:30,SN-9984,29.8,TRUE,76.0,Clean
2026-07-12 14:51:30,SN-9985,27.7,TRUE,81.0,Clean
2026-07-12 14:51:30,SN-9986,31.0,FALSE,69.0,Clean
2026-07-12 14:51:40,SN-9982,29.1,TRUE,88.0,Clean
2026-07-12 14:51:40,SN-9983,28.8,TRUE,94.0,Clean
2026-07-12 14:51:40,SN-9984,30.1,TRUE,76.0,Clean
2026-07-12 14:51:40,SN-9985,27.6,FALSE,81.0,Clean
2026-07-12 14:51:40,SN-9986,30.6,FALSE,69.0,Clean
2026-07-12 14:51:50,SN-9982,29.3,0,88.0,Clean
2026-07-12 14:51:50,SN-9983,28.8,TRUE,94.0,Clean
2026-07-12 14:51:50,SN-9984,30.0,TRUE,76.0,Clean
2026-07-12 14:51:50,SN-9985,27.9,FALSE,81.0,Clean
2026-07-12 14:51:50,SN-9986,30.9,FALSE,69.0,Clean
2026-07-12 14:52:00,SN-9982,29.0,TRUE,88.0,Clean
2026-07-12 14:52:00,SN-9983,28.6,TRUE,94.0,Clean
2026-07-12 14:52:00,SN-9984,30.2,TRUE,76.0,Clean
2026-07-12 14:52:00,SN-9985,27.6,FALSE,81.0,Clean
2026-07-12 14:52:00,SN-9986,30.6,TRUE,69.0,Clean
2026-07-12 14:52:10,SN-9982,29.4,TRUE,88.0,Clean
2026-07-12 14:52:10,SN-9983,28.6,FALSE,94.0,Clean
2026-07-12 14:52:10,SN-9984,29.8,FALSE,76.0,Clean
2026-07-12 14:52:10,SN-9985,27.8,TRUE,81.0,Clean
2026-07-12 14:52:10,SN-9986,30.5,TRUE,69.0,Clean
2026-07-12 14:52:20,SN-9982,29.2,FALSE,88.0,Clean
2026-07-12 14:52:20,SN-9983,28.5,TRUE,94.0,Clean
2026-07-12 14:52:20,SN-9984,30.1,FALSE,76.0,Clean
2026-07-12 14:52:20,SN-9985,27.6,FALSE,81.0,Clean
2026-07-12 14:52:20,SN-9986,30.3,FALSE,69.0,Clean
2026-07-12 14:52:30,SN-9982,29.0,TRUE,88.0,Clean
2026-07-12 14:52:30,SN-9983,28.9,TRUE,94.0,Clean
2026-07-12 14:52:30,SN-9984,29.8,TRUE,76.0,Clean
2026-07-12 14:52:30,SN-9985,27.6,TRUE,81.0,Clean
2026-07-12 14:52:30,SN-9986,30.3,FALSE,69.0,Clean
